t,W,p_R,B_drive,R_drive
0,0.008071531510931039,0.2878912274114248,1.0,0.0
1,0.017093496278125564,0.27959898518002707,1.0,0.0
2,0.02708034051157454,0.2707809495684497,1.0,0.0
3,0.03801710200405567,0.26154444561802337,1.0,0.0
4,0.04985941780375447,0.2520273389731588,1.0,0.0
5,0.06169647690481691,0.2537376626503052,0.0,0.0
6,0.07354132244027295,0.25587727627912477,0.0,0.0
7,0.08540703768226426,0.25846100447033976,0.0,0.0
8,0.0973067416439051,0.2615066031183487,0.0,0.0
9,0.10925356421397182,0.26503458091202015,0.0,0.0
10,0.1212605970734603,0.26906797564913904,0.0,0.0
11,0.13334081646744403,0.27363207281927626,0.0,0.0
12,0.14550697383373656,0.2787540521122085,0.0,0.0
13,0.15777145039732904,0.2844625460379705,0.0,0.0
14,0.17014607222037031,0.29078709400433705,0.0,0.0
15,0.18264188296243794,0.29775747538443487,0.0,0.0
16,0.1952688728773719,0.3054029068193765,0.0,0.0
17,0.20803566447339886,0.3137510928176115,0.0,0.0
18,0.22094915789561786,0.3228271252434203,0.0,0.0
19,0.2340141425089844,0.3326522370777103,0.0,0.0
20,0.24835955462295117,0.3301545795892315,1.0,0.0
21,0.2639531221101861,0.32750458919242953,1.0,0.0
22,0.28074612361593976,0.3248536297945303,1.0,0.0
23,0.29867855787081793,0.32234836675064327,1.0,0.0
24,0.31768436794921484,0.3201233482500554,1.0,0.0
25,0.3370275126418958,0.33337133200406477,0.0,0.0
26,0.3567022512099984,0.34762658030722177,0.0,0.0
27,0.3766945116383704,0.362879587150771,0.0,0.0
28,0.3969810645331908,0.3791028055196738,0.0,0.0
29,0.4175289689907551,0.39624850175282494,0.0,0.0
30,0.4382953917221259,0.41424738404244144,0.0,0.0
31,0.45922788575641443,0.4330082896783653,0.0,0.0
32,0.48026518403386664,0.4524191564493657,0.0,0.0
33,0.5013385175037636,0.47234939304035695,0.0,0.0
34,0.522373412102806,0.49265361063214264,0.0,0.0
35,0.5432918627107906,0.5131765057304036,0.0,0.0
36,0.5640147350655333,0.533758524695662,0.0,0.0
37,0.5844642179997896,0.5542418274233119,0.0,0.0
38,0.6045661440507316,0.5744760267864093,0.0,0.0
39,0.6242520170563771,0.5943232209675358,0.0,0.0
40,0.6448523803463349,0.5996109776254769,1.0,0.0
41,0.6662971476987837,0.6046602615716233,1.0,0.0
42,0.6885148670411824,0.609532741153998,1.0,0.0
43,0.7114338915616563,0.6142801309517952,1.0,0.0
44,0.7349833376004294,0.6189447128906079,1.0,0.0
45,0.7578745275894153,0.6372980771562529,0.0,0.0
46,0.7800571303010178,0.6549846564664864,0.0,0.0
47,0.8014916123209065,0.6719433884573739,0.0,0.0
48,0.8221489732812135,0.6881321080857682,0.0,0.0
49,0.8420101174177633,0.7035259445928612,0.0,0.0
50,0.8610649668761389,0.7181152348562813,0.0,0.0
51,0.8793114170854626,0.7319031918371806,0.0,0.0
52,0.8967542212230489,0.7449035262535069,0.0,0.0
53,0.9134038733345508,0.7571381700339037,0.0,0.0
54,0.9292755413123034,0.7686352007625811,0.0,0.0
55,0.9443880839113381,0.7794270231120923,0.0,0.0
56,0.9587631715626849,0.7895488290144782,0.0,0.0
57,0.972424519411455,0.7990373335782691,0.0,0.0
58,0.9853972327120197,0.8079297676200714,0.0,0.0
59,0.9977072590937605,0.8162630985476118,0.0,0.0
